case_id,case_type,input_or_scenario,expected_behavior,actual_behavior,outcome,evidence_or_citation,notes
TC01,clear_eligible,"Single adult in Pittsburgh working limited part-time hours. She is uninsured, struggling to afford groceries, and has a past-due gas bill after a cold spell.","A one-person household at $900/month is below the posted SNAP gross income limit and well below LIHEAP's annual income cap. The applicant is also uninsured and below Pennsylvania's adult Medicaid expansion threshold, so all three programs are strong likely matches.","Based on the information provided, this household may be a fit for LIHEAP, SNAP, Medicaid/CHIP. LIHEAP: Heating-assistance need is present and income 900 is within the prototype LIHEAP limit 2200. SNAP: Household income 900 is within the prototype SNAP threshold 1800. Medicaid/CHIP: Adult household income is within the prototype Medicaid limit 1800. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC01.json,Matched expected prototype behavior.
TC02,clear_ineligible,"Two-adult household with stable full-time employment, employer insurance, and no reported food or heating hardship. They are testing whether the system correctly avoids recommending inapplicable programs.","A two-adult household at $7,200/month is far above SNAP, Medicaid, WIC, and LIHEAP income limits, and the scenario includes stable insurance and no clear hardship signals. This is a clean negative control case.","Based on the information provided, this prototype did not find a clear in-scope program match. That does not mean the household is officially ineligible, only that the bounded screen did not find a strong fit.",pass,outputs/traces/TC02.json,Matched expected prototype behavior.
TC03,multi_program,"Single parent with two children ages 3 and 8. Parent recently lost one side job, the family is skipping meals, and the heating bill is overdue.","A three-person household at $1,900/month is below SNAP and LIHEAP limits, and the parent and both children are under applicable Medicaid income thresholds. Because there is a child under 5 and income is low, WIC is also likely relevant.","Based on the information provided, this household may be a fit for SNAP, LIHEAP, Medicaid/CHIP, WIC. SNAP: Household income 1900 is within the prototype SNAP threshold 3600. LIHEAP: Heating-assistance need is present and income 1900 is within the prototype LIHEAP limit 4500. Medicaid/CHIP: Children in the household keep income within the prototype Medicaid/CHIP threshold 4200. WIC: Income 1900 is within the prototype WIC limit 4900. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC03.json,Matched expected prototype behavior.
TC04,missing_info,"Two-adult, one-child household with a main earner doing irregular gig work. They have a utility shutoff notice but cannot provide a reliable monthly income amount yet.","This scenario is intentionally incomplete because the monthly earned income and total household income are missing. The utility shutoff notice makes LIHEAP and local navigation important, but the system should not present SNAP or Medicaid as definite without income verification.","Based on the information provided, this household may be a fit for Local Referral, LIHEAP, SNAP, Medicaid/CHIP. Local Referral: The case includes navigation, ambiguity, or local-support signals that warrant a human/community referral. Caveats: Missing core fields limit deterministic prescreening. Unknown insurance status affects Medicaid/CHIP confidence. Income is missing, so SNAP cannot be screened reliably. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC04.json,Matched expected prototype behavior.
TC05,near_threshold,"Two adults and two children (ages 4 and 9) are living on one paycheck. Their income appears just under SNAP and LIHEAP cutoffs, and the younger child may still fall within Medicaid limits while the older child may not.","A four-person household at $4,090/month is below SNAP's gross income limit and just under LIHEAP's annual income cap when annualized. The 4-year-old is under the age 1-5 Medicaid limit, while the 9-year-old is above the 6-18 Medicaid limit and may need CHIP rather than Medicaid.","Based on the information provided, this household may be a fit for LIHEAP, SNAP, Medicaid/CHIP, WIC. LIHEAP: Heating-assistance need is present and income 4090 is within the prototype LIHEAP limit 4200. SNAP: Household income 4090 is within the prototype SNAP threshold 4200. Medicaid/CHIP: Children in the household keep income within the prototype Medicaid/CHIP threshold 4300. WIC: Income 4090 is within the prototype WIC limit 5900. Caveats: SNAP threshold edge case. Child coverage may vary by age band. LIHEAP threshold edge case. LIHEAP appears close to the income cutoff and should be verified. Income appears close to the SNAP threshold and should be verified. Child age bands may split Medicaid vs CHIP outcomes. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC05.json,Matched expected prototype behavior.
TC06,contradictory_data,"Applicant says she is employed full time and has not recently lost work, but the intake form shows zero earned income. The household is also reporting food and utility hardship.","This case is designed to test contradiction handling. If the zero income is correct, several programs look plausible, but the employment and income fields conflict, so the correct behavior is uncertainty plus escalation or follow-up rather than overconfident recommendations.","Based on the information provided, this household may be a fit for Local Referral, SNAP, LIHEAP, Medicaid/CHIP. Local Referral: The case includes navigation, ambiguity, or local-support signals that warrant a human/community referral. SNAP: Household income 0 is within the prototype SNAP threshold 2800. LIHEAP: Heating-assistance need is present and income 0 is within the prototype LIHEAP limit 4200. Medicaid/CHIP: Children in the household keep income within the prototype Medicaid/CHIP threshold 3600. Caveats: Contradictory intake data requires follow-up. Contradictory intake data blocks a firm SNAP read. Contradictory intake data blocks a firm LIHEAP read. Contradictory income details block a firm Medicaid/CHIP read. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC06.json,Matched expected prototype behavior.
TC07,local_referral_only,"Single adult is staying temporarily with relatives after an eviction and mostly needs housing stabilization and legal or rental help. Income and current circumstances make SNAP, Medicaid, and LIHEAP less likely than a local referral.","This single-adult household is above SNAP and adult Medicaid income limits, has no heating-assistance signal, and is insured. The strongest fit is a local referral pathway related to housing instability after eviction.","Based on the information provided, this household may be a fit for Local Referral. Local Referral: The case includes navigation, ambiguity, or local-support signals that warrant a human/community referral. Caveats: Local referral should focus on housing stabilization resources. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC07.json,Matched expected prototype behavior.
TC08,ambiguous_case,"Two adults and three children report a mix of part-time wages, cash babysitting, and a very recent layoff. The intake is messy, the household is behind on bills, and the applicant is more comfortable in Spanish.","A five-person household at $2,550/month is well below the published SNAP, LIHEAP, Medicaid, and WIC thresholds. But the scenario intentionally includes rushed, messy intake and mixed income reporting, so the system should still surface uncertainty and route toward navigation support.","Based on the information provided, this household may be a fit for Local Referral, SNAP, LIHEAP, Medicaid/CHIP, WIC. Local Referral: The case includes navigation, ambiguity, or local-support signals that warrant a human/community referral. SNAP: Household income 2550 is within the prototype SNAP threshold 5200. LIHEAP: Heating-assistance need is present and income 2550 is within the prototype LIHEAP limit 5200. Medicaid/CHIP: Children in the household keep income within the prototype Medicaid/CHIP threshold 5200. WIC: Income 2550 is within the prototype WIC limit 6900. Caveats: Unknown insurance status affects Medicaid/CHIP confidence. Coverage status is unclear and should be verified during follow-up. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC08.json,Matched expected prototype behavior.
TC09,ambiguous_case,"Adult says her 17-year-old niece lives with her most of the week, but custody and tax-dependent status are unclear. It is also unclear whether the teen still has active coverage through another parent.","The household income is low enough that SNAP and LIHEAP remain plausible whether the teen counts in the household or not. But Medicaid/CHIP depends on who is in the budget group and whether the 17-year-old already has active coverage through another parent, so that result should stay uncertain.","Based on the information provided, this household may be a fit for Local Referral, LIHEAP, SNAP, Medicaid/CHIP. Local Referral: The case includes navigation, ambiguity, or local-support signals that warrant a human/community referral. LIHEAP: Heating-assistance need is present and income 1700 is within the prototype LIHEAP limit 4200. SNAP: Household income 1700 is within the prototype SNAP threshold 2800. Medicaid/CHIP: Children in the household keep income within the prototype Medicaid/CHIP threshold 3600. Caveats: Missing core fields limit deterministic prescreening. Contradictory intake data requires follow-up. Unknown insurance status affects Medicaid/CHIP confidence. Coverage status is unclear and should be verified during follow-up. Household-composition contradictions block a firm Medicaid/CHIP read. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC09.json,Matched expected prototype behavior.
TC10,ambiguous_case,"Married applicant is pregnant with twins and lives with her spouse. Their combined income is too high for SNAP, LIHEAP, and standard adult Medicaid, but the pregnant applicant may still qualify for Medicaid because unborn children increase household size for that category.","At $4,300/month, the two-adult household is above SNAP and LIHEAP cutoffs and above the standard adult Medicaid threshold for the spouse. But pregnancy Medicaid uses a larger household size because of the twins, which makes the pregnant applicant likely eligible, and pregnancy also makes WIC likely relevant.","Based on the information provided, this household may be a fit for Medicaid/CHIP, WIC. Medicaid/CHIP: Pregnancy increases the effective household size for the prototype Medicaid screen. WIC: Income 4300 is within the prototype WIC limit 5900. Caveats: Pregnancy-related coverage may apply differently across household members. Pregnancy-specific Medicaid may apply even if other adults do not qualify. This is a prescreening and next-step guide, not an official determination.",pass,outputs/traces/TC10.json,Matched expected prototype behavior.
